response,page,survey
Our teachers need to be fairly compensated. affordable day care. Schools need to teach children to swim.,45,city
Parenting interventions and involvement. To many kids have no parent involved and schools have no resources to help. Education starts in a home of people who believe in assisting their children in receiving and accepting it. You can help but no change the view of the parents.,46,city
Pay teachers and provide resources for better retention.,46,city
Pay teachers better. Build and repair parks. Increase computer access for all kids.,46,city
Pay teachers more.,46,city
"Pay teachers more, give schools more funding, stop catering to the loud minority and make decisions that's right for the city based on the information available and stick to it.",46,city
"Pay teachers more, provide more support for families with children.",46,city
"Pay teachers more, require higher standards for teachers.",46,city
"Pay teachers more. invest in schools, get rid of bloated administration.",46,city
Poverty prevention- programs and access to good school system.,46,city
Preschool for all children. After school programs. Creative ways to teach those who learn differently.,46,city
Prioritize quality teaching. leadership & retention of talent in public schools. Stop allowing charters to siphon off public funds.,46,city
Promote family units with a mother and father.,46,city
Proper after school and summer enrichment opportunities at low/no cost to working families.,46,city
Protective services for families. Need more social workers.,46,city
Provide a better education. Keep the streets safe.,46,city
"Provide a range of paid employment, volunteer opportunities, and after school activities in at risk neighborhoods for all age groups.",46,city
"Provide a safe and healthy environment to allow all children to feel wanted, needed, and belong.",46,city
Provide a safe and secure environment for them to thrive. Improve public school systems. Provide cost effective recreational and athletic opportunities to promote a positive environment and keep them out of trouble.,46,city
Provide affordable housing and extracurricular activities.,46,city
Provide afterschool enrichment and athletic programs. Provide apprentice and internship opportunities for high school students.,46,city
Provide better schools.,46,city
Provide citywide intramural basketball. Talent shows. Art exhibits etc. For teens (12-18) in order for them to compete and be seen in a positive genre. These activities out of reach for some teens at school due to negative behavior.,46,city
"Provide enough, safe, park space and facilities.",46,city
"Provide equitable social support, economic, & educational resources across all neighborhoods and communities and schools in Durham city and county. Where neighborhoods and communities have low resources and clear disadvantage, the city and county need to increase the provision of those resources, services, &! Opportunities to alleviate adverse conditions.",46,city
Provide food and education.,46,city
"Provide FREE activities. Tutoring, financial literacy classes.",46,city
Provide free early learning and childcare options.,46,city
Provide good school programs & activities. Limit who is allowed to have children to what city/county can achieve to substitute for family care.,46,city
"Provide more support to public schools to include reduced class sizes, more academic and non-academic programs, and access to school activities.",47,city
Provide one on one help for students needing it.,47,city
Provide safe places for children to be after school.,47,city
Provide transportation to them to participate when parents must work.,47,city
"Provide well kept, safe areas for Play and recreation.",47,city
Public Pre-school/daycare.,47,city
Put God back in the school system. Teach them about morality and hire God-fearing teachers.,47,city
"Put maximum funding into public schools. Provide adequate support staff at schools for counseling, administration, etc., to free teachers to teach. Provide job training opportunities for those students who will not attend college. And provide free after school programs that engage teens in positive activities.",47,city
Put more emphasis on education.,47,city
Put more money into public education and social services to support poor and single parent families. After school programs and food programs are also important.,47,city
Put vocational education classes back in the schools! Every kid is NOT going to college!Neighboring counties like Orange County still have those classes!!!!!,47,city
"Quality public education (not charter schools, not private schools) that is inclusive of everyone. Programs that are driven for different learning types and capabilities.",47,city
Quality teachers in all schools. Have children who don’t want to learn go to alternative schools so the children who want to learn will have that opportunity.,47,city
"Reach out to children and teens in subsidized housing to get them involved with educational, artistic, and athletic programs that will give them something to do other than get into trouble. There's a teen center in Lyon Park and I've never seen anyone at it. Seems very underutilized as is the baseball field beside it.",47,city
"Conduct support groups for ages 10 to 15 years old and find out their concerns, what they think, what they feel for them and for themselves in order to help them be more focused on their decisions and not make mistakes at an early age so that learn to take care of themselves and their community and respect the people around them who are cautious. In reality, youth need a lot of help for a better tomorrow. Helping youth is the best thing that can be done do for a better life in the future to care for and grow",47,city
Recreation centers that offer experiences for children ages 8-18 are important in helping children rea h their full potential.,47,city
Recreational resources for youths.,47,city
Reduce class size.,47,city
"Reduce poverty, increase job opportunities/training for under-resourced communities so parents have jobs, increase # of counselors/social workers in public schools, so teachers have less burden trying to address students' needs beyond school.",48,city
Reform zoning to make new/existing developments in Durham mixed income and increase development in East Durham -> thereby reduce concentrated poverty and de-facto state of racial/economic segregation.,48,city
"Regular communication with public school employees at all levels. Any employee no matter what job or title should be encouraged to actively reach out to county officials and share thoughts, ideas, or concerns. Parents of all children should also be encouraged to do the same. I hope the county puts a major focus on providing resources for all students in the public schools and put emphasis on making schools feel safe.",48,city
Reliable transportation.,48,city
Remove all vaccine and mask mandates. Parents should decide where children go to school so offer competitive school choices to parents.,48,city
Safe activities.,48,city
"Safe after school programs, more visible opportunities for people to volunteer to help post COVID",48,city
"safe neighborhoods, nutrition, access to play/parks spaces, pre-K programs, adequate medical/dental care, and support for learning disabilities.",48,city
"Safe, comprehensive, accessible, well-promoted programs and facilities to ALL youth; upper-middle-lower class of all races.",48,city
School and job training.,48,city
School vouchers.,48,city
Schools need to be safer and teacher salaries need to be increased to attract and retain quality professionals.,48,city
Schools should be equal all across the board with resources and teachers.,48,city
"Schools, churches, government, and families work together.",48,city
"Smaller class size, more after school free spaces. Invest in school facilities.",48,city
Smaller class sizes so kids with ADHD or behavior challenges aren't constantly removed from classrooms.  They need more support and different solutions.,48,city
"Smaller classrooms. More pay for teachers (you get what you pay for). Education should be number one concern not athletics. Sports are ok but must maintain GPA to play. Need every day gym classes. Life skills classes on marriage, budget. And applying for jobs. Trade schools. Parenting classes. Paying taxes.",48,city
Some schools are underfunded and poorly run with racial problems. My family had to move to a neighborhood with a better school though they hated to move.,48,city
Spend money in schools and actually commit to it.,48,city
"Spend more money on public education, teachers, keeping kids in school.",48,city
Stop calling Durham city police unless they don't carry guns.,48,city
Stop enforcing laws that prohibit marijuana use.,48,city
Stop pushing race as the primary factor that children cannot succeed. Focus on providing quality education on the core competencies. Provide more law enforcement in high crime /gang areas so that children don’t live in fear.,48,city
Strong public schools regardless of neighborhood.,48,city
Substantial improvement of quality of academic rather than teacher union directed instruction and curriculum at all public schools.,49,city
Support and encourage better and more involved parenting.,49,city
Support charter schools.,49,city
Support programs like Kidznotes.,49,city
"Support public schools: quality, variety of instruction, teacher pay to attract good teachers, etc.",49,city
"Support the educators, good salary, money to buy needed supplies for all.",49,city
Support the neighborhood groups that are working on these goals and follow their lead and wisdom.,49,city
Take care of the teachers.,49,city
Teach them Dave Ramsey financial literacy.,49,city
Teachers need to get paid more.,49,city
Teenager having a place to go to get help with school and finding meaningful work that could take them into adulthood.,49,city
Teenagers starting at 11 need programs and community-based spaces to help them learn.,49,city
"Teens: High school age, there should be more teen related facilities for gathering and mingling with friend. The Streets at South Point used to allow for this until the Northgate mall closed",49,city
"The efforts of the P&R, library and social services are good. I like that the police & fire dept do annual community events. Please refurbish and maintain low-income housing. I would like to see more housing neighborhoods & quality construction in the 100K price range. Durham has a lot of high end and low end and not much in the middle.",49,city
"The magnet school system is a great start. Decent housing for all kids is so important--functional housing away from crime areas and safe transit to schools. After-school programs for kids whose parents must work. Safe places for kids to be when their guardians aren't around.  Alternative outlets for youth angst and energy (alternative to gangs.)  Not de-fund the police but add a ""social worker"" component.",49,city
"There are huge socio-economic disparities existing in Durham right now, and gentrification is pushing marginalized people out. We need to start with affordable housing that is pleasant. Then fix school facilities and ensure enough bus drivers, teachers, cafeteria workers. Then provide programming to teach skills and pull people out of poverty.",49,city
"To be safe, listen to the world and do the best they can and do your best.",49,city
Treat all the same.,49,city
"Try improving the quality of management in schools. Even if individual teachers are very good, continuity and consistency are lacking.  I believe I've read that DPS receives the second-highest level of funding per student in the state.  The outcomes don't reflect that. Stop the misguided downtown development. I don't need a Google office there.  Put it in the park. Durham's policy has exacerbated a housing crunch that may have been there anyway while losing out on economic development. You can call yourselves """"progressive"""" but having kids shot near my house, failing schools, and a lack of affordable housing isn't the kind of progress I want.",49,city
"Turning schools into community centers and safe spaces with social services resources, recreation for families and tutoring options & family education.",49,city
"Tutors, translators for the Spanish.",49,city
Universal pre k for all children.,49,city
Universal pre-k.,49,city
"Universal pre-k, skate parks.",50,city
Universal pre-k. Safe places to play in every neighborhood. More kids living in a supportive home environment.,50,city
Update all schools to be more compatible with society today.,50,city
"Use funds to give youth resources: better access to mental health services, opportunities/internships, education—rather than for new youth detention center.",50,city
Utilize retired and elderly for educational and skills training. It's a win/win situation.,50,city
Very important to improve this plan.,50,city
We need to improve the quality of teachers and seriously improve teachers’ salaries to recruit excellent teachers in public schools. I am a teacher in middle school.,50,city
Work on the quality of the public school system.,50,city
Work on the schools and crime.,50,city
Work to improve the quality of public schools. Add and improve sidewalks surrounding public schools so children can safely walk to school.,50,city
Work to stop the influence of gangs. Need more mentors and facilities to keep kids out of trouble and focusing on life-long skills.,50,city
"You can’t just have a few stand out teachers or schools and clap for yourself.  You have to have a good school system. The grades speak for themselves. These kids are undereducated in every category. I would move to a shack in Chapel Hill before I would live in a mansion in Durham and send my kid to public school in Durham. I tried Ignite! This year. Better—but really, it’s just OnDemand home schooling.",50,city
"Young children need a strong male & female model of good character as they grow & mature. Children might meet their potential if the city & county encouraged “family” events, supported Big Brother type of organizations, & supported unwed mothers not only with money but teaching them skills. Much research suggests that even 1 good person who models good behaviors can make a difference in a child’s life & help break the bad cycle from which the child comes. I know this research to be true from witnessing lives of people I know. They are people who broke out of the bad cycle & are now contributing members of society.",50,city
Youth centers.,50,city
Youth need a center for activities.,50,city
